Mitani Station (Okayama)	三谷駅 (岡山県)（みたに）
Mitani Station (Yamaguchi)	三谷駅 (山口県)（みたに）
Mitazono Station	美田園駅（みたぞの）
Mitejima Station	御幣島駅（みてじま）
Mito Station (Ibaraki)	水戸駅（みと）
Mito Station (Osaka)	弥刀駅（みと）
Mitoma Station	三苫駅（みとま）
Mitsu Station	三津駅（みつ）
Mitsubishi-jikō-mae Station	三菱自工前駅（みつびしじこうまえ）
Mitsuhama Station	三津浜駅（みつはま）
Mitsuishi Station (Kumamoto)	三ツ石駅（みついし）
Mitsuishi Station (Okayama)	三石駅（みついし）
Mitsukaidō Station	水海道駅（みつかいどう）
Mitsuke Station	見附駅（みつけ）
Mitsukoshimae Station	三越前駅（みつこしまえ）
Mitsukuchi Station	三口駅（みつくち）
Mitsukyō Station	三ツ境駅（みつきょう）
Mitsuma Station	三妻駅（みつま）
Mitsumata Station	三俣駅（みつまた）
Mitsumatsu Station (Fukui)	三松駅（みつまつ）
Mitsumatsu Station (Osaka)	三ツ松駅（みつまつ）
Mitsumineguchi Station	三峰口駅（みつみねぐち）
Mitsuoka Station	三岡駅（みつおか）
